id,name_short,name,type,sex,origin,genre,language,year,tracks,second_year
40,40,40,1,2,7,99,99,99,99,99
divi,divi,÷ by Ed Sheeran,2,55,55,1,1,2017,12,2018
19by,19by,19 by Adele,2,55,55,12,1,2011,12,55
1989,1989,1989 by Taylor Swift,2,55,55,1,1,2014,13,2015
21by,21by,21 by Adele,2,55,55,1,1,2011,12,2012
KMag,KMag,24K Magic,2,55,55,7,1,2016,9,2017
25,25,25 by Adele,2,55,55,1,1,2015,11,2017
fiftyCe,fiftyCe,50 Cent,1,2,2,99,99,99,99,99
fivextwenty,fivextwenty,5x20 All the BEST!! 1999-2019 by ARASHI,2,55,55,14,6,2019,67,55
seventhA,seventhA,7th Avenue,1,99,99,99,99,99,99,99
Wonder,Wonder,9th Wonder,1,2,2,99,99,99,99,99
Aboo,Aboo,A Boogie wit da Hoodie,1,2,2,99,99,99,99,99
Ahea,Ahea,A head full of dreams by Coldplay,2,55,55,1,1,2015,12,2017
Apen,Apen,A Pentatonix Chrismas by Pentatonix,2,55,55,13,1,2016,11,55
ASta,ASta,A Star is Born OST by Lady Gaga & Bradley Cooper,2,55,55,1,1,2018,18,2019
AStr,AStr,A Strut,1,2,9,99,99,99,99,99
AKJa,AKJa,A.K.Janeway,1,99,99,99,99,99,99,99
Aali,Aali,Aalias,1,2,2,99,99,99,99,99
AaronD,AaronD,Aaron Dessner,1,2,2,99,99,99,99,99
AaronP,AaronP,Aaron Pearce,1,2,99,99,99,99,99,99
AaronR,AaronR,Aaron Raitiere,1,2,2,99,99,99,99,99
Abbe,Abbe,Abbey Road by The Beatles,2,55,55,4,1,2019,17,55
AdRo,AdRo,Ad-Rock,1,2,2,99,99,99,99,99
AdamB,AdamB,Adam Baptiste,1,2,9,99,99,99,99,99
AdCa,AdCa,Adam Cayton,1,2,10,99,99,99,99,99
Adam,Adam,Adam Martin,1,2,8,99,99,99,99,99
AdamM,AdamM,Adam Messinger,1,2,7,99,99,99,99,99
Adel,Adel,Adele,1,1,1,99,99,99,99,99
ADNL,ADNL,ADN Lewis,1,2,2,99,99,99,99,99
Adon,Adon,Adonis,1,2,2,99,99,99,99,99
ADOR,ADOR,ADORA,1,1,10,99,99,99,99,99
Adri,Adri,Adrienne Anderson,1,1,2,99,99,99,99,99
Afte,Afte,After Hours by The Weeknd,2,55,55,7,1,2020,14,55
AhnB,AhnB,Ahn Bok-jin,1,99,99,99,99,99,99,99
Aion,Aion,Aion Clarke,1,99,99,99,99,99,99,99
AJJu,AJJu,AJ Junior,1,2,9,99,99,99,99,99
AlDa,AlDa,Al Darwish,1,2,10,99,99,99,99,99
AlanC,AlanC,Alan Chang,1,2,2,99,99,99,99,99
Alan,Alan,Alan Lomax,1,99,99,99,99,99,99,99
AlMa,AlMa,Alan Merrill,1,2,2,99,99,99,99,99
AlanP,AlanP,Alan Parsons,1,2,1,99,99,99,99,99
AlHa,AlHa,Alana Haim,1,1,2,99,99,99,99,99
Albe,Albe,Albert Winkler,1,2,99,99,99,99,99,99
Albi,Albi,Albin Nedler,1,2,9,99,99,99,99,99
Alexda,Alexda,Alex da Kid,1,2,1,99,99,99,99,99
AlexDel,AlexDel,Alex Delicata,1,2,2,99,99,99,99,99
AlexDez,AlexDez,Alex Dezen,1,2,2,99,99,99,99,99
AlSa,AlSa,Alex Salibian,1,2,2,99,99,99,99,99
AlSo,AlSo,Alex Sowinski,1,2,7,99,99,99,99,99
Alexa,Alexa,Alexander Gowers,1,2,99,99,99,99,99,99
Alex,Alex,Alexander Karlsson,1,2,9,99,99,99,99,99
Alexe,Alexe,Alexej Viktorovitch,1,2,9,99,99,99,99,99
AliK,AliK,Ali Kocatepe,1,2,99,99,99,99,99,99
AliP,AliP,Ali Payami,1,2,10,99,99,99,99,99
AlTa,AlTa,Ali Tamposi,1,1,2,99,99,99,99,99
Alic,Alic,Alice and the Glass Lake,1,1,2,99,99,99,99,99
AlKe,AlKe,Alicia Keys,1,1,2,99,99,99,99,99
Alja,Alja,Alja Jackson,1,1,99,99,99,99,99,99
Alle,Alle,Allen Ritter,1,2,2,99,99,99,99,99
Alli,Alli,Allie X,1,1,7,99,99,99,99,99
AlKa,AlKa,Allison Kaplan,1,1,2,99,99,99,99,99
Amad,Amad,Amadeus,1,2,2,99,99,99,99,99
Aman,Aman,Amanda Ghost,1,1,1,99,99,99,99,99
AMcB,AMcB,Amanda McBroom,1,1,2,99,99,99,99,99
Amir,Amir,Amir Amor,1,2,1,99,99,99,99,99
Amit,Amit,Amit Duvdevani,1,2,10,99,99,99,99,99
Amma,Amma,Ammar Malik,1,2,2,99,99,99,99,99
Ammo,Ammo,Ammo,1,2,2,99,99,99,99,99
AmyA,AmyA,Amy Allen,1,1,2,99,99,99,99,99
AmyFo,AmyFo,Amy Foster-Gillies,1,1,7,99,99,99,99,99
AmyW,AmyW,Amy Wadge,1,1,1,99,99,99,99,99
Ande,Ande,Anders Dannvik,1,2,9,99,99,99,99,99
Ander,Ander,Anders Wikström,1,2,9,99,99,99,99,99
Andre3,Andre3,André 3000,1,2,2,99,99,99,99,99
AnBr,AnBr,Andre Brown,1,2,2,99,99,99,99,99
AndreL,AndreL,Andre Lindal,1,2,10,99,99,99,99,99
Andr,Andr,Andreas Johansson,1,2,9,99,99,99,99,99
AndrewCa,AndrewCa,Andrew Canton,1,2,2,99,99,99,99,99
AndrewF,AndrewF,Andrew Farriss,1,2,10,99,99,99,99,99
AndrewH,AndrewH,Andrew Haas,1,99,2,99,99,99,99,99
AndrewHa,AndrewHa,Andrew Harr,1,2,2,99,99,99,99,99
AnJa,AnJa,Andrew Jackson,1,2,1,99,99,99,99,99
AnTa,AnTa,Andrew Taggart,1,2,2,99,99,99,99,99
AndrewT,AndrewT,Andrew Thomas,1,99,99,99,99,99,99,99
AndrewTo,AndrewTo,Andrew Tolman,1,2,2,99,99,99,99,99
AndrewWy,AndrewWy,Andrew Wyatt,1,2,2,99,99,99,99,99
AnLo,AnLo,Angel López,1,2,2,99,99,99,99,99
AngusY,AngusY,Angus Young,1,2,1,99,99,99,99,99
Anju,Anju,Anjulie,1,1,7,99,99,99,99,99
AnWi,AnWi,Anna Wise,1,1,2,99,99,99,99,99
Anne,Anne,Anne Dudley,1,1,1,99,99,99,99,99
AnWe,AnWe,Annika Wells,1,1,2,99,99,99,99,99
Antho,Antho,Anthoine Walters,1,99,99,99,99,99,99,99
AnthonyB,AnthonyB,Anthony Best,1,2,2,99,99,99,99,99
AnthonyF,AnthonyF,Anthony Fields,1,2,8,99,99,99,99,99
AnthonyM,AnthonyM,Anthony Moore,1,2,1,99,99,99,99,99
AnthonyR,AnthonyR,Anthony Rossomando,1,2,2,99,99,99,99,99
AnAr,AnAr,Antonina Armato,1,1,2,99,99,99,99,99
AntonioD,AntonioD,Antonio Dixon,1,2,2,99,99,99,99,99
AntonioR,AntonioR,Antonio Randolph,1,99,99,99,99,99,99,99
Aqua,Aqua,Aquaman,1,99,99,99,99,99,99,99
Arab,Arab,Arabian Prince,1,2,2,99,99,99,99,99
ARAS,ARAS,ARASHI,1,2,10,99,99,99,99,99
AriLe,AriLe,Ari Levine,1,2,2,99,99,99,99,99
Aria,Aria,Ariana Grande,1,1,2,99,99,99,99,99
ArRe,ArRe,Ariel Rechtshaid,1,2,2,99,99,99,99,99
Arst,Arst,Arston,1,2,10,99,99,99,99,99
ArtNe,ArtNe,Art Neville,1,2,2,99,99,99,99,99
ArtP,ArtP,Artpop by Lady Gaga,2,55,55,1,1,2013,15,55
AshleyB,AshleyB,Ashley Boyd,1,99,99,99,99,99,99,99
AshleyJ,AshleyJ,Ashley Joi Sadler,1,1,99,99,99,99,99,99
AshF,AshF,Ashton Foster,1,1,2,99,99,99,99,99
ASIL,ASIL,ASIL (JPN),1,99,99,99,99,99,99,99
Audi,Audi,Audien,1,2,2,99,99,99,99,99
AUGU,AUGU,AUGUST 08,1,2,2,99,99,99,99,99
Augus,Augus,August Rigo,1,2,7,99,99,99,99,99
Avey,Avey,Avey Tare,1,2,2,99,99,99,99,99
Avic,Avic,Avicii,1,2,9,99,99,99,99,99
Avri,Avri,Avril Lavigne,1,1,7,99,99,99,99,99
Axel,Axel,Axel Morgan (Singer),1,2,99,99,99,99,99,99
AyoT,AyoT,Ayo The Producer,1,2,2,99,99,99,99,99
Ayum,Ayum,Ayumi Miyazaki,1,2,10,99,99,99,99,99
B.o.B,B.o.B,B.o.B,1,2,2,99,99,99,99,99
Babe,Babe,Babel by Mumford & Sons,2,55,55,5,1,2012,12,55
Baby,Baby,Babyface,1,2,2,99,99,99,99,99
Bach,Bach,Bacharach & David,1,99,99,99,99,99,99,99
Back,Back,Backpack,1,2,2,99,99,99,99,99
Bang,Bang,Bangladesh,1,2,2,99,99,99,99,99
Bard,Bard,Bard McNamee,1,2,2,99,99,99,99,99
Bari,Bari,Baria Qureshi,1,1,1,99,99,99,99,99
Barn,Barn,Barney Freeman,1,2,99,99,99,99,99,99
BarryG,BarryG,Barry Gibb,1,2,1,99,99,99,99,99
Bawh,Bawh,Barry White,1,2,2,99,99,99,99,99
BE,BE,BE by BTS,2,55,55,11,6,2020,8,55
Beat,Beat,BeatGeek,1,99,99,99,99,99,99,99
BeTr,BeTr,Beautiful Trauma by P!nk,2,55,55,1,1,2017,13,2018
Beau,Beau,Beauty behind the madness by the weeknd,2,55,55,1,1,2015,14,55
Bebe,Bebe,Bebe Rexha,1,1,2,99,99,99,99,99
Been,Been,Beenie Man,1,2,10,99,99,99,99,99
Beko,Beko,Bēkon,1,2,2,99,99,99,99,99
Beli,Beli,Believe by Justin Bieber,2,55,55,1,1,2012,13,55
Bell,Bell,Belly,1,2,10,99,99,99,99,99
BenB,BenB,Ben Billions,1,2,99,99,99,99,99,99
BenF,BenF,Ben Fagan,1,2,2,99,99,99,99,99
BenK,BenK,Ben Kohn,1,2,1,99,99,99,99,99
BenLo,BenLo,Ben Lovett,1,2,1,99,99,99,99,99
BenMa,BenMa,Ben Maddahi,1,2,2,99,99,99,99,99
BenMc,BenMc,Ben McKee,1,2,2,99,99,99,99,99
BenV,BenV,Ben Vella,1,99,99,99,99,99,99,99
BenWe,BenWe,Ben West,1,2,2,99,99,99,99,99
Beng,Beng,Bengy Gibson,1,2,2,99,99,99,99,99
BePa,BePa,Benj Pasek,1,2,2,99,99,99,99,99
BeAn,BeAn,Benny Andersson,1,2,9,99,99,99,99,99
benn,benn,benny blanco,1,2,2,99,99,99,99,99
Bern,Bern,Bernie Taupin,1,2,1,99,99,99,99,99
Berr,Berr,Berry Gordy,1,2,2,99,99,99,99,99
BertK,BertK,Bert Kalmar,1,2,2,99,99,99,99,99
Beyonc,Beyonc,Beyoncé,1,1,2,99,99,99,99,99
Beyo,Beyo,Beyoncé by Beyoncé,2,55,55,7,1,2013,14,55
BigB,BigB,Big Boi,1,2,2,99,99,99,99,99
BigS,BigS,Big Sean,1,2,2,99,99,99,99,99
BigT,BigT,Big Taste,1,2,99,99,99,99,99,99
BiCu,BiCu,Bill Curtis,1,2,2,99,99,99,99,99
Billie,Billie,Billie Eilish,1,1,2,99,99,99,99,99
BillyHa,BillyHa,Billy Hayes,1,2,2,99,99,99,99,99
BillyMa,BillyMa,Billy Mann,1,2,2,99,99,99,99,99
BillySq,BillySq,Billy Squier,1,2,2,99,99,99,99,99
BillyWa,BillyWa,Billy Walsh,1,2,2,99,99,99,99,99
Bing,Bing,Bing Crosby,1,2,2,99,99,99,99,99
Bird,Bird,Birdman,1,2,2,99,99,99,99,99
BJKh,BJKh,BJ Khan,1,99,99,99,99,99,99,99
BjUl,BjUl,Björn Ulvaeus,1,2,9,99,99,99,99,99
black,black,blackbear,1,2,2,99,99,99,99,99
Blac,Blac,Blackstar by David Bowie,2,55,55,5,1,2017,7,55
Bloo,Bloo,BloodPop,1,2,2,99,99,99,99,99
Bloods,Bloods,Bloodshy,1,2,9,99,99,99,99,99
BluJ,BluJ,Blu June,1,1,2,99,99,99,99,99
BlueB,BlueB,Blue Bear,1,2,1,99,99,99,99,99
Blue,Blue,Blue u Lonesome by The Rolling Stones,2,55,55,10,1,2016,12,55
Blur,Blur,Blurryface by Twenty One Pilots,2,55,55,5,1,2016,14,55
Blyt,Blyt,Blythe Pepino,1,1,99,99,99,99,99,99
BobBh,BobBh,Bob Bharma,1,2,1,99,99,99,99,99
BobDy,BobDy,Bob Dylan,1,2,2,99,99,99,99,99
BobRo,BobRo,Bob Rock,1,2,7,99,99,99,99,99
Bobb,Bobb,Bobby Chung,1,2,10,99,99,99,99,99
Bobc,Bobc,Bobcat,1,2,2,99,99,99,99,99
Bohe,Bohe,Bohemian Rhapsody: The Original Soundtrack by Queen,2,55,55,4,1,2018,21,2019
Boi1,Boi1,Boi-1da,1,2,10,99,99,99,99,99
BONN,BONN,BONN,1,2,9,99,99,99,99,99
BonnieM,BonnieM,Bonnie McKee,1,1,2,99,99,99,99,99
Bono,Bono,Bono,1,2,10,99,99,99,99,99
BOOT,BOOT,BOOTS,1,2,2,99,99,99,99,99
BoLa,BoLa,Boris Lanneau,1,2,5,99,99,99,99,99
Bori,Bori,Boris Williams,1,2,5,99,99,99,99,99
BornTh,BornTh,Born This Way by Lady Gaga,2,55,55,1,1,2011,14,55
BornTo,BornTo,Born To Die by Lana Del Rey,2,55,55,1,1,2012,12,55
Brad,Brad,Bradley Cooper,1,2,2,99,99,99,99,99
Bram,Bram,Bram Inscore,1,2,2,99,99,99,99,99
Brand,Brand,"Brandon ""Blue"" Hamilton",1,2,2,99,99,99,99,99
Brando,Brando,Brandon Green,1,2,2,99,99,99,99,99
Bran,Bran,Brandy,1,1,2,99,99,99,99,99
BrGr,BrGr,Brendan Grieve,1,2,1,99,99,99,99,99
Bren,Bren,Brendon Urie,1,2,2,99,99,99,99,99
Bret,Bret,Brett James,1,2,99,99,99,99,99,99
Brian,Brian,Brian Alexander Morgan,1,2,2,99,99,99,99,99
Bria,Bria,Brian Chase,1,2,2,99,99,99,99,99
BrianEn,BrianEn,Brian Eno,1,2,1,99,99,99,99,99
BrianKe,BrianKe,Brian Kennedy,1,2,2,99,99,99,99,99
BrianLe,BrianLe,Brian Lee,1,2,2,99,99,99,99,99
BrianMa,BrianMa,Brian Malik Baptiste,1,2,2,99,99,99,99,99
BrianM,BrianM,Brian May,1,2,1,99,99,99,99,99
BrianS,BrianS,Brian Soko,1,2,10,99,99,99,99,99
BrianW,BrianW,Brian West,1,2,7,99,99,99,99,99
Brit,Brit,Brittany Coney,1,1,2,99,99,99,99,99
BrittanyT,BrittanyT,Brittany Tolman,1,1,99,99,99,99,99,99
Broc,Broc,Brock Korsan,1,2,99,99,99,99,99,99
BrBr,BrBr,Brody Brown,1,2,2,99,99,99,99,99
Bruc,Bruc,Bruce Springsteen,1,2,2,99,99,99,99,99
BrMa,BrMa,Bruno Mars,1,2,2,99,99,99,99,99
BryanAd,BryanAd,Bryan Adams,1,2,7,99,99,99,99,99
Brya,Brya,Bryan-Michael Cox,1,2,2,99,99,99,99,99
Buck,Buck,Buck Ram,1,2,2,99,99,99,99,99
Budd,Budd,Buddy Johnson,1,2,2,99,99,99,99,99
Buff,Buff,Buff Love,1,2,2,99,99,99,99,99
BunB,BunB,Bun B,1,2,2,99,99,99,99,99
Burt,Burt,Burt Bacharach,1,2,2,99,99,99,99,99
busb,busb,busbee,1,2,2,99,99,99,99,99
Bust,Bust,Busta Rhymes,1,2,2,99,99,99,99,99
Butc,Butc,Butch Walker,1,2,2,99,99,99,99,99
CCar,CCar,C. Carson Parks,1,2,2,99,99,99,99,99
Cait,Cait,Caitlyn Smith,1,1,2,99,99,99,99,99
Calv,Calv,Calvin Harris,1,2,1,99,99,99,99,99
Cam,Cam,Cam,1,1,2,99,99,99,99,99
Came,Came,Camela Leierth,1,1,9,99,99,99,99,99
Camil,Camil,Camila Cabello,1,1,10,99,99,99,99,99
Cami,Cami,Camilla Anne Stewart,1,99,99,99,99,99,99,99
Cand,Cand,Candace Sosa,1,1,2,99,99,99,99,99
Candi,Candi,Candice Pillay,1,1,10,99,99,99,99,99
CaFi,CaFi,Canei Finch,1,2,2,99,99,99,99,99
Cardi,Cardi,Cardi B,1,1,2,99,99,99,99,99
Cardia,Cardia,Cardiak,1,2,2,99,99,99,99,99
Cardo,Cardo,Cardo,1,2,2,99,99,99,99,99
CAGM,CAGM,"Carl ""Groove"" Martin",1,2,2,99,99,99,99,99
CarlF,CarlF,Carl Falk,1,2,9,99,99,99,99,99
CarlM,CarlM,Carl Marshall,1,99,99,99,99,99,99,99
CarlR,CarlR,Carl Rosen,1,2,2,99,99,99,99,99
CarlT,CarlT,Carl Thompson,1,99,99,99,99,99,99,99
Carla,Carla,Carla Marie,1,99,99,99,99,99,99,99
Caro,Caro,Caroline Ailin,1,1,10,99,99,99,99,99
CarolinePo,CarolinePo,Caroline Polachek,1,1,2,99,99,99,99,99
CarolynLe,CarolynLe,Carolyn Leigh,1,1,2,99,99,99,99,99
Cart,Cart,Carter Lang,1,2,99,99,99,99,99,99
CatD,CatD,Cat Daddy Ro,1,99,99,99,99,99,99,99
Caut,Caut,Cautious Clay,1,2,2,99,99,99,99,99
Cazz,Cazz,Cazzi Opeia,1,1,9,99,99,99,99,99
Chanc,Chanc,Chance the Rapper,1,2,2,99,99,99,99,99
Chan,Chan,Changes by Justin Bieber,2,55,55,7,1,2020,16,55
ChBr,ChBr,Charles Bradley,1,2,2,99,99,99,99,99
CharlesS,CharlesS,Charles Still,1,2,2,99,99,99,99,99
ChJP,ChJP,Charlie J. Perry,1,2,1,99,99,99,99,99
CheP,CheP,Che Pope,1,99,99,99,99,99,99,99
Chec,Chec,Cheche Alara,1,2,10,99,99,99,99,99
Chel,Chel,Chelcee Grimes,1,1,1,99,99,99,99,99
ChHa,ChHa,Chester Hansen,1,2,7,99,99,99,99,99
CHIME,CHIME,CHI-MEY (JPN),1,2,99,99,99,99,99,99
ChillyG,ChillyG,Chilly Gonzales,1,2,7,99,99,99,99,99
Chim,Chim,Chimey,1,99,99,99,99,99,99,99
ChIn,ChIn,Chin Injeti,1,2,10,99,99,99,99,99
ChrisBra,ChrisBra,Chris Braide,1,2,1,99,99,99,99,99
ChrisBro,ChrisBro,Chris Brown,1,2,2,99,99,99,99,99
ChrisCas,ChrisCas,Chris Caswell,1,2,2,99,99,99,99,99
Chri,Chri,Chris Gelbuda,1,2,2,99,99,99,99,99
ChrisGod,ChrisGod,Chris Godbey,1,2,2,99,99,99,99,99
ChrisIv,ChrisIv,Chris Ivery,1,2,2,99,99,99,99,99
ChrisJa,ChrisJa,Chris James,1,2,3,99,99,99,99,99
ChrisJ,ChrisJ,Chris Janey,1,99,99,99,99,99,99,99
ChrisM,ChrisM,Chris Martin,1,2,1,99,99,99,99,99
ChrisS,ChrisS,Chris Stapleton,1,2,2,99,99,99,99,99
ChristianL,ChristianL,Christian Lorenz,1,2,3,99,99,99,99,99
ChMe,ChMe,Christian Medice,1,2,2,99,99,99,99,99
Christ,Christ,Christmas by Michael Bublé,2,55,55,13,1,2011,19,55
Chris,Chris,Christofer Erixon,1,2,9,99,99,99,99,99
Christo,Christo,Christoph Schneider,1,2,3,99,99,99,99,99
ChrisBec,ChrisBec,Christophe Beck,1,2,7,99,99,99,99,99
ChuckB,ChuckB,Chuck Berry,1,2,2,99,99,99,99,99
ChuckyT,ChuckyT,Chucky Thompson,1,2,2,99,99,99,99,99
Cirk,Cirk,Cirkut,1,2,7,99,99,99,99,99
Clar,Clar,Clarence Coffee Jr.,1,2,2,99,99,99,99,99
Clau,Clau,Claude Kelly,1,2,2,99,99,99,99,99
Clay,Clay,Clay Wells Holley,1,2,99,99,99,99,99,99
ClSm,ClSm,Claydes Smith,1,2,2,99,99,99,99,99
Clev,Clev,Clever,1,2,2,99,99,99,99,99
ClintBa,ClintBa,Clint Ballard,1,2,2,99,99,99,99,99
Clin,Clin,Clinton Sparks,1,2,2,99,99,99,99,99
Clyd,Clyd,Clyde Kelly,1,2,2,99,99,99,99,99
CoMa,CoMa,Conor Maynard,1,2,1,99,99,99,99,99
Cool,Cool,Cool,1,2,2,99,99,99,99,99
Core,Core,Corey Gibson,1,2,99,99,99,99,99,99
Cory,Cory,Cory Gunz,1,2,2,99,99,99,99,99
Cosm,Cosm,Cosmo's Midnight,1,2,10,99,99,99,99,99
Cour,Cour,Courtney Sills,1,2,2,99,99,99,99,99
CoyP,CoyP,Coy Poe,1,2,2,99,99,99,99,99
Crai,Crai,Craig Harrisingh,1,2,99,99,99,99,99,99
Craz,Craz,Crazy J,1,99,99,99,99,99,99,99
Crys,Crys,Crystal Nicole,1,1,2,99,99,99,99,99
Curt,Curt,Curtis ‘Sauce‘ Wilson,1,2,99,99,99,99,99,99
CVRE,CVRE,CVRE,1,2,7,99,99,99,99,99
CyCo,CyCo,Cy Coleman,1,2,2,99,99,99,99,99
Cyri,Cyri,Cyril Neville,1,2,2,99,99,99,99,99
DMC,DMC,D.M.C.,1,2,2,99,99,99,99,99
DaBa,DaBa,DaBaby,1,2,2,99,99,99,99,99
DaTo,DaTo,Dado Topić,1,2,10,99,99,99,99,99
DaHe,DaHe,DaHeala,1,2,7,99,99,99,99,99
DaWa,DaWa,Dale Warren,1,2,2,99,99,99,99,99
Dami,Dami,Damian Marley,1,2,10,99,99,99,99,99
DMcK,DMcK,Damian McKee,1,2,1,99,99,99,99,99
DAMN,DAMN,DAMN! by Kendrick Lamar,2,55,55,2,1,2017,14,55
DamonT,DamonT,Damon Thomas,1,2,2,99,99,99,99,99
DamonY,DamonY,Damon Yul „Kool Rock-Ski“ Wimbley,1,2,99,99,99,99,99,99
DaBr,DaBr,Dan Bryer,1,2,1,99,99,99,99,99
DanHe,DanHe,Dan Heath,1,2,99,99,99,99,99,99
DanKa,DanKa,Dan Kanter,1,2,7,99,99,99,99,99
DaPr,DaPr,Dan Priddy,1,2,1,99,99,99,99,99
DanRe,DanRe,Dan Reynolds,1,2,2,99,99,99,99,99
DanWi,DanWi,Dan Wilson,1,2,2,99,99,99,99,99
Dang,Dang,Danger Mouse,1,2,2,99,99,99,99,99
DaniaMaBi,DaniaMaBi,Dania Maria Birks,1,1,2,99,99,99,99,99
DanielB,DanielB,Daniel Bryer,1,2,1,99,99,99,99,99
DanielC,DanielC,Daniel Caesar (of Caesar & Loui),1,2,7,99,99,99,99,99
DanielD,DanielD,Daniel Daley,1,2,7,99,99,99,99,99
DanielPl,DanielPl,Daniel Platzman,1,2,2,99,99,99,99,99
DaHa,DaHa,Danielle Haim,1,1,2,99,99,99,99,99
dank,dank,danke (lalala studio),1,2,10,99,99,99,99,99
DannyE,DannyE,Danny Elfman,1,2,2,99,99,99,99,99
DannyJo,DannyJo,Danny Jones,1,2,1,99,99,99,99,99
DannyW,DannyW,Danny Wilson,1,2,1,99,99,99,99,99
Dann,Dann,DannyBoyStyles,1,2,2,99,99,99,99,99
DarrenB,DarrenB,Darren Black,1,2,1,99,99,99,99,99
DarrenR,DarrenR,Darren Robinson,1,2,99,99,99,99,99,99
DaPe,DaPe,Darryl Pearson,1,2,2,99,99,99,99,99
DarylBr,DarylBr,Daryl Braithwaite,1,2,8,99,99,99,99,99
Dave,Dave,Dave,1,2,1,99,99,99,99,99
DaveG,DaveG,Dave Goode,1,2,99,99,99,99,99,99
DaGu,DaGu,Dave Guy,1,2,2,99,99,99,99,99
DaveO,DaveO,Dave Okumu,1,2,10,99,99,99,99,99
DaveR,DaveR,Dave Rodriguez,1,99,99,99,99,99,99,99
DavidB,DavidB,David Biral,1,2,1,99,99,99,99,99
DavidBo,DavidBo,David Bowie,1,2,1,99,99,99,99,99
DavidBr,DavidBr,David Brook,1,99,99,99,99,99,99,99
DaBy,DaBy,David Byron,1,2,1,99,99,99,99,99
DavidC,DavidC,David Carty,1,2,99,99,99,99,99,99
DavidFo,DavidFo,David Foster,1,2,7,99,99,99,99,99
DavidGi,DavidGi,David Gilmour,1,2,1,99,99,99,99,99
DavidGu,DavidGu,David Guetta,1,2,5,99,99,99,99,99
DavidH,DavidH,David Harrisingh,1,2,99,99,99,99,99,99
DavidSc,DavidSc,David Schuler,1,2,2,99,99,99,99,99
DavidSn,DavidSn,David Sneddon,1,2,1,99,99,99,99,99
DavidS,DavidS,David Stewart,1,2,1,99,99,99,99,99
Daxz,Daxz,Daxz,1,99,99,99,99,99,99,99
Dean,Dean,Dean McIntosh,1,99,99,99,99,99,99,99
Deke,Deke,Deke Richards,1,2,2,99,99,99,99,99
DemJ,DemJ,Dem Jointz,1,2,2,99,99,99,99,99
dEnA,dEnA,dEnAun,1,2,2,99,99,99,99,99
Denn,Denn,"Dennis ""Aganee"" Jenkins",1,2,2,99,99,99,99,99
DDTT,DDTT,"Dennis ""D.T."" Thomas",1,2,2,99,99,99,99,99
DennisLu,DennisLu,Dennis Lussier,1,2,2,99,99,99,99,99
Denz,Denz,Denzel Baptiste,1,2,2,99,99,99,99,99
Derr,Derr,Derrick Milano,1,2,2,99,99,99,99,99
