from,to,weight,relation,participation,Count
40,Beyo,1,1,1,1
Aali,TheM,1,1,1,1
AdRo,TheM,1,1,1,1
Adam,Pris,1,1,1,1
Alan,ToBe,3,1,3,4
Alexda,TheM,1,1,1,1
Alexda,Nigh,3,1,3,4
AliP,1989,1,1,1,1
AliT,Four,1,1,1,1
Amir,x,1,1,1,1
Amit,ArtP,1,1,1,1
Ammo,Beyo,1,1,1,1
AmyFo,ToBe,1,1,1,1
AmyWa,x,1,1,1,1
AndrewWy,Unor,3,1,1,2
AndrewTo,Nigh,1,1,1,2
AngusY,Rock,7,2,7,11
Anju,ArtP,1,1,1,1
AnthonyM,TheE,1,1,1,1
Arab,TheM,1,1,1,1
AriLe,Unor,7,1,7,10
ArtNe,TheM,1,1,1,1
Avic,Ghos,1,1,1,1
BarryG,ToBe,1,1,1,1
Bebe,TheM,1,1,1,1
BenMc,Nigh,7,2,7,11
BennyB,Unor,1,1,1,1
BennyB,Pris,1,1,1,2
BennyB,x,1,1,1,1
BerryG,ToBe,1,1,1,1
BerryG,Guar,1,1,1,1
BertK,ToBe,1,1,1,1
Beyonc,Beyo,7,2,7,14
BillySq,TheM,1,1,1,1
Bloods,Pris,1,1,1,1
BonnieM,Pris,3,1,3,4
BOOT,Beyo,3,1,3,5
BrianS,Beyo,1,1,1,2
BrittanyT,Nigh,1,1,1,2
Brod,Unor,1,1,1,1
Brun,Unor,7,2,7,10
BryanAd,ToBe,1,3,1,1
CCar,ToBe,1,1,1,1
Came,Pris,1,1,1,1
CarlF,Midn,1,1,1,1
CarolynLe,ToBe,1,1,1,1
CarolinePo,Beyo,1,1,1,1
CharlesS,The2,1,1,1,1
ChillyG,Rand,1,1,1,1
ChinIn,TheM,1,1,1,1
ChrisGod,The2,1,1,1,1
ChrisCas,Rand,1,1,1,2
ChrisBec,Froz,5,1,7,21
ChrisMar,Ghos,7,2,7,9
Cirk,Pris,3,1,5,7
ClintBa,TheM,1,1,1,1
CoyP,TheM,1,1,1,1
Craz,TheM,1,1,1,1
Cyri,TheM,1,1,1,1
DaniaMaBi,TheM,1,1,1,1
DanielPl,Nigh,5,2,7,9
DannyJo,Midn,1,1,1,1
DanRe,Nigh,7,2,7,11
DarylBr,Rand,1,1,1,1
DavidBr,TheM,1,1,1,1
DavidGu,ArtP,1,1,1,1
DavidBo,Guar,1,1,1,1
DavidGi,TheE,5,2,7,15
DennisLu,Guar,1,1,1,1
Deta,Beyo,1,1,1,2
Dino,ArtP,3,1,5,7
DJFa,Rand,1,1,1,1
DJKh,TheM,1,1,1,1
DJLo,x,1,1,1,1
DJSn,ArtP,3,1,3,3
DJWh,ArtP,5,1,7,11
DougiePo,Midn,1,1,1,1
DougEF,TheM,1,1,1,1
DrLu,Pris,3,1,5,7
Drak,Beyo,1,3,1,1
DreM,Beyo,1,1,1,2
DVLP,TheM,1,1,1,1
EdDr,Midn,1,1,3,3
EdDr,Four,1,1,1,1
EdSh,x,7,2,7,12
EdSh,Four,1,1,1,2
EgWh,InTh,3,1,1,2
ElvinSm,InTh,1,1,1,1
ElvinBi,Guar,1,1,1,1
EmeliSa,Pris,1,1,1,1
EmileHa,TheM,1,1,1,2
EmileHa,Unor,3,1,1,2
Emin,TheM,7,1,7,16
Erez,ArtP,1,1,1,1
EricCa,Guar,1,1,1,1
EricSt,Guar,1,1,1,1
ErikAl,TheM,1,1,1,1
Fonc,Guar,1,1,1,1
FoyV,x,1,1,1,2
FrankOc,Beyo,1,3,1,1
Fras,InTh,1,1,1,1
FreddiePe,Guar,1,1,1,1
Freq,TheM,1,1,1,1
Frod,Froz,1,1,1,1
Garl,The2,1,1,1,1
GarthPo,Rand,1,1,1,1
GaryLi,Midn,1,1,1,1
GaryLi,x,3,1,5,7
GeorgePo,TheM,1,1,1,1
GianPi,TheM,1,1,1,1
GiorgioMo,Rand,1,3,1,1
GiorgioTu,ArtP,1,1,1,1
GrahamGo,Guar,1,1,1,1
GregKu,Pris,1,1,1,2
GregWe,Pris,1,1,1,2
GuyBe,Ghos,7,2,7,9
GuyMa,Rand,7,2,7,14
GwenGo,ToBe,1,1,1,1
HarrySt,Midn,3,2,3,4
HarryRu,ToBe,1,1,1,1
HarrySt,Four,3,2,1,4
Haze,Beyo,1,1,1,1
HitB,Beyo,1,1,1,1
Imog,1989,1,1,1,1
Jacknife,Midn,1,1,1,1
JackAn,1989,1,1,1,2
JamesFa,The2,7,1,7,12
JamesFa,Beyo,3,1,3,3
JamieSc,Midn,3,1,5,9
JamieSc,Four,3,1,1,7
JannAr,ToBe,1,1,1,1
JAYZ,The2,1,3,1,1
JAYZ,Beyo,1,3,1,1
JeffBh,TheM,1,1,1,1
JeffBh,Unor,3,1,3,3
JeffLy,InTh,1,1,1,1
JimmieGr,TheM,1,1,1,1
JimmyVa,ToBe,1,1,1,1
JimmyNa,InTh,3,1,3,3
JimVa,ToBe,1,1,1,1
JoanJe,Guar,1,1,1,1
JoelLi,Pure,5,1,7,10
JoeWa,TheM,1,1,1,1
JoeyCh,TheM,1,1,1,1
JohanCa,Four,1,1,1,1
JohnRy,Midn,5,1,7,11
JohnWi,The2,1,1,1,1
JohnnyRi,ToBe,1,1,1,1
JohnnyMc,x,3,1,3,5
JohnRy,Four,5,1,1,9
JohnMa,Pris,1,1,1,1
Jonatha,Pris,1,1,1,1
JonBe,TheM,1,1,1,1
JonHo,Ghos,1,1,1,1
JonnyBu,Ghos,7,2,7,9
JordanUl,Beyo,1,1,1,1
JosephMo,TheM,1,1,1,1
JosefMy,ToBe,1,1,1,1
JoshMo,Nigh,3,1,3,3
JRoc,The2,5,1,7,10
JRoc,Beyo,3,1,3,4
Juic,Pris,1,3,1,1
JulianBu,Midn,5,1,7,11
JulianCa,Rand,1,3,1,1
JulienAr,ArtP,1,1,1,1
JulianBu,Four,5,1,1,10
JustinTi,The2,7,2,7,12
JustinTi,Beyo,3,1,3,3
KatyPe,Pris,7,2,7,16
KayGe,TheM,1,1,1,1
Kend,TheM,1,3,1,1
Kesi,x,1,1,1,1
KeYW,Beyo,1,1,1,2
KimFo,Guar,1,1,1,1
Klas,Pris,1,1,1,2
KristenAn,Froz,3,1,7,11
LadyGa,ArtP,7,2,7,15
LarryMi,Guar,1,1,1,1
LauraGi,TheM,1,1,1,1
LeoNo,TheM,1,1,1,1
LiamPa,Midn,3,2,5,9
LiamPa,Four,5,2,1,8
LizR,TheM,1,1,1,1
Loll,Guar,1,1,1,1
Lord,Pure,5,2,7,10
LouisTo,Midn,5,2,7,12
LouisTo,Four,5,2,1,8
Luis,TheM,3,1,5,6
Lyri,Beyo,1,1,1,2
MPha,TheM,1,1,1,1
Mack,ToBe,1,1,1,1
Made,ArtP,3,1,3,3
Magn,Pris,1,1,1,1
Maki,TheM,1,1,1,1
MalcomYo,Rock,7,2,7,11
MarkRo,Unor,1,1,1,1
MarkJa,Guar,1,1,1,1
MatthewDe,TheM,1,1,1,1
MattPr,InTh,1,1,1,1
MaxMa,Pris,3,1,7,9
MaxMa,1989,3,1,5,7
MCA,TheM,1,1,1,1
MCJB,TheM,1,1,1,1
MichaelBu,ToBe,3,2,3,4
Migu,Beyo,1,1,1,1
MikeAi,TheM,1,1,1,1
MikeSt,TheM,1,1,1,1
Mikk,Pris,1,1,1,2
Mitc,Unor,1,1,1,1
Moze,Four,1,1,1,1
NateRu,TheM,1,3,1,1
NiallHo,Midn,1,2,1,2
NiallHo,Four,1,2,1,2
NickMo,ArtP,3,1,5,7
NickolasAs,Guar,1,1,1,1
NickMa,TheE,1,2,1,2
NicolasMe,ArtP,1,1,1,1
NileRo,Rand,3,3,3,3
Norm,Guar,1,1,1,1
OGRo,TheM,1,1,1,1
OliverFr,Four,1,1,1,2
Omen,Beyo,1,1,1,1
Pand,Rand,1,3,1,1
PaulEp,Unor,1,1,1,1
PaulJa,Rand,1,1,1,1
PaulWi,Rand,1,3,1,2
Phar,Rand,1,3,1,2
Phar,Beyo,1,1,1,2
Phar,x,1,3,1,2
PhilipLa,Unor,7,1,7,10
Phre,Unor,1,1,1,1
Pier,x,1,1,1,1
Pinky,TheM,1,1,1,1
Polin,TheM,1,1,1,1
Polly,TheE,1,1,1,1
RKel,ArtP,1,3,1,1
RandyNe,ToBe,1,1,1,1
Rans,TheM,1,1,1,1
RayR,Beyo,1,1,1,1
RedO,ArtP,1,1,1,1
RichardWr,TheE,5,2,7,11
RickRu,TheM,1,1,1,1
Riha,TheM,1,3,1,1
RobertLo,Froz,3,1,7,11
RobinGi,ToBe,1,1,1,1
RobKn,The2,1,1,1,2
RodAr,TheM,1,1,1,1
Roqu,ToBe,1,1,1,1
Rupe,Guar,1,1,1,1
RuthAn,Four,1,1,1,2
RyanTe,Midn,1,1,1,1
RyanTe,Beyo,1,1,1,1
RyanTe,1989,1,1,1,2
SPag,Four,1,1,1,1
S1,TheM,1,1,1,1
Samm,ToBe,1,1,1,1
SamSm,InTh,7,2,7,10
SarahJa,TheM,1,1,1,1
SarahHu,Pris,1,1,1,1
Sava,Midn,1,1,1,1
Scho,TheM,1,1,1,1
ScottyWi,ToBe,1,1,1,1
Shel,1989,3,1,5,7
Sia,Pris,1,1,1,1
Sia,Beyo,1,1,1,1
SimonAl,InTh,1,1,1,1
Skyl,TheM,1,3,1,1
Slic,TheM,1,1,1,1
Smok,ToBe,1,1,1,1
Sool,Beyo,1,1,1,2
StanVi,Guar,1,1,1,1
StephenHa,TheM,1,1,1,1
StevenSa,ToBe,1,1,1,1
SteveGu,ArtP,3,1,3,3
STRE,TheM,1,1,1,1
SunR,ArtP,1,1,1,1
Supa,Unor,1,1,1,1
TI,ArtP,1,3,1,1
Tayl,1989,7,2,7,13
Tcha,ArtP,3,1,3,3
Tedd,Midn,1,1,1,1
Tedd,Four,1,1,1,1
Terr,The2,1,1,1,1
TheD,Beyo,3,1,3,4
Thom,Rand,7,2,7,14
Timb,The2,5,3,7,10
Timb,Beyo,3,1,3,4
TobySm,Midn,1,1,1,1
ToddEd,Rand,1,3,1,1
TomFl,Midn,1,1,1,1
TomJa,ToBe,1,1,1,1
TomPe,InTh,1,1,1,1
TonyMi,Rand,1,1,1,1
TooSh,ArtP,1,3,1,1
TorE,Pris,1,1,1,2
Tour,InTh,1,1,1,1
Travish,TheM,1,1,1,1
Trea,TheM,1,1,1,1
Twis,ArtP,1,3,1,1
TwoI,InTh,3,1,1,2
ValerieSi,Guar,1,1,1,1
VincentPo,Pris,1,1,1,1
Vinn,TheM,1,1,1,1
VinRo,TheM,1,1,1,1
WallyBr,Guar,1,1,1,1
WalterMu,TheM,1,1,1,1
WayneHe,Midn,1,1,3,3
WayneSe,Nigh,7,2,7,11
WayneHe,Four,1,1,1,1
william,ArtP,1,1,1,1
WillCh,Ghos,7,2,7,9
Wolf,TheM,1,1,1,1
ZAYN,Midn,1,2,1,1
ZAYN,Four,3,2,1,3
Zedd,ArtP,3,1,3,3